Date,0-0.1,0.1-1,1-10,10-100,"100-1,000","1,000-10,000","10,000-100,000","100,000-1,000,000"
2021-05-11,226748,752146,1701818,4254152,3953978,5126008,2234305,455390
2021-05-12,226673,752061,1698474,4252853,3943466,5124619,2206130,501390
2021-05-13,226440,752436,1697834,4254920,3951458,5095570,2226654,501390
2021-05-14,226680,752563,1698237,4254502,3953986,5093500,2226638,501390
2021-05-15,226389,752152,1696811,4254773,3947364,5095706,2233730,501390
2021-05-16,226018,752247,1697758,4255733,3947599,5092326,2236025,501390
2021-05-17,226359,752321,1695938,4257373,3953854,5070903,2251776,501390
2021-05-18,226974,753197,1696230,4258219,3960724,5080103,2133063,602034
2021-05-19,227945,753346,1697599,4257840,3967163,5069976,2127596,609837
2021-05-20,228724,752523,1694019,4248823,3953875,5082133,2114111,637837
2021-05-21,229518,752693,1696007,4247691,3937832,5084895,2124829,639217
2021-05-22,229237,752877,1693942,4246697,3928202,5095391,2125817,641243
2021-05-23,228584,752463,1688016,4239712,3929969,5098151,2146044,631243
2021-05-24,228661,752860,1688982,4240707,3934392,5106692,2141413,621243
2021-05-25,228901,754155,1689217,4240319,3931200,5134771,2114925,622231
2021-05-26,229082,754283,1688852,4241565,3937147,5111056,2132298,622231
2021-05-27,229207,754817,1690539,4245741,3933588,5109237,2131732,622370
2021-05-28,229439,755314,1689814,4243336,3932985,5107653,2137041,622394
2021-05-29,229045,754121,1689720,4242696,3926133,5110365,2144213,622394
2021-05-30,228226,754437,1689689,4240589,3934860,5116301,2109086,646394
2021-05-31,227865,754625,1689744,4239555,3939130,5124775,2098358,646394
2021-06-01,226752,754727,1690619,4242932,3943215,5134675,2042025,686394
2021-06-02,226239,753853,1690165,4243261,3945974,5133372,2041261,688277
2021-06-03,225954,751234,1689003,4241243,3941101,5131868,2054634,688277
2021-06-04,226136,748459,1688250,4239749,3949647,5131981,2051583,688277
2021-06-05,226266,744672,1687755,4238968,3948960,5127928,2062107,688277
2021-06-06,226436,739453,1685809,4235019,3936050,5159718,2055134,688277
2021-06-07,226617,737569,1680596,4232734,3934636,5155665,2070619,688277
2021-06-08,227080,738387,1679830,4235875,3938114,5161473,2058616,688277
2021-06-09,227769,739574,1680474,4239879,3944124,5161921,2042706,691983
2021-06-10,228090,739602,1680605,4240128,3946139,5149153,2053481,691983
2021-06-11,228465,739922,1681247,4240851,3944698,5138617,2064067,691983
2021-06-12,226941,734170,1680021,4249061,3943895,5137253,2067327,691983
2021-06-13,226787,734395,1681213,4251897,3945762,5133129,2066290,691983
2021-06-14,227005,735089,1674783,4250162,3949676,5138544,2065059,691983
2021-06-15,227203,735023,1659929,4239917,3937159,5180154,2063290,690483
2021-06-16,227533,735392,1661152,4237630,3938543,5175082,2068081,690483
2021-06-17,227812,736152,1660686,4236599,3940758,5173630,2068611,690483
2021-06-18,228108,736612,1660113,4235142,3947574,5166427,2071060,690483
2021-06-19,228324,737128,1661597,4238011,3939074,5169872,2071662,690483
2021-06-20,228446,736587,1661975,4237045,3938694,5166979,2076597,690483
2021-06-21,228843,737828,1661535,4240000,3945104,5158186,2079490,686483
2021-06-22,229524,738899,1662325,4241786,3947062,5142363,2088553,687545
2021-06-23,229882,738671,1661351,4238747,3941019,5145406,2096047,687545
2021-06-24,229934,738904,1660386,4240010,3937971,5149538,2095981,686589
2021-06-25,229561,738490,1661070,4241939,3943997,5143326,2092529,689089
2021-06-26,229689,739039,1662321,4244150,3930763,5155409,2090104,689089
2021-06-27,230085,739422,1663717,4244560,3938474,5133112,2106542,685089
2021-06-28,231027,741222,1666037,4245557,3936103,5129728,2106695,685089
2021-06-29,231431,741931,1666148,4245783,3931638,5131712,2107914,685493
2021-06-30,232091,742513,1665820,4249268,3938694,5119268,2109485,685493
2021-07-01,232747,743055,1666414,4244836,3933649,5131697,2107272,683493
2021-07-02,233290,743604,1667662,4247515,3930685,5145886,2091653,683493
2021-07-03,232685,742156,1668360,4248039,3929762,5191230,2048760,683502
2021-07-04,231443,740984,1668486,4247968,3932194,5189077,2051623,683502
2021-07-05,231026,740510,1667947,4246616,3934197,5190423,2051842,683502
2021-07-06,230552,740921,1667965,4246592,3940520,5183271,2053647,683502
2021-07-07,230586,741172,1669034,4248326,3942411,5188574,2046139,681502
2021-07-08,230953,741712,1669939,4247894,3947515,5183834,2045221,681502
2021-07-09,231073,741830,1671084,4249272,3943481,5186266,2044874,681502
2021-07-10,230464,741705,1671940,4247468,3949930,5179916,2047141,681888
2021-07-11,230030,741821,1672494,4248740,3947694,5181633,2046921,681888
2021-07-12,229881,741711,1673947,4255774,3939748,5175472,2055579,679888
2021-07-13,230076,742165,1673628,4255788,3942034,5173511,2055711,679888
2021-07-14,230115,742619,1674534,4254329,3941239,5176219,2054768,680010
2021-07-15,230202,742610,1674133,4256831,3940226,5183580,2133357,593757
2021-07-16,230287,742880,1674605,4254089,3946209,5167449,2146301,593795
2021-07-17,230524,743298,1674227,4258044,3938348,5210085,2108086,593902
2021-07-18,230489,743325,1674464,4258174,3935396,5215943,2105764,593902
2021-07-19,230290,743382,1674339,4259313,3930168,5219761,2107259,593902
2021-07-20,230447,743828,1674983,4260330,3926143,5221171,2108473,593902
2021-07-21,230621,744087,1674740,4259596,3934957,5199843,2122274,594058
2021-07-22,230763,744164,1674455,4260205,3930687,5199653,2126880,594280
2021-07-23,230700,744148,1675427,4259720,3927246,5213856,2116606,594280
2021-07-24,230937,744403,1676359,4262317,3930527,5209297,2114762,594280
2021-07-25,230850,744345,1677261,4258573,3926308,5220853,2111352,594280
2021-07-26,230634,744867,1677626,4258925,3927344,5227302,2115162,582979
2021-07-27,230750,744965,1677679,4256542,3927860,5250792,2095760,581479
2021-07-28,230361,744001,1679567,4255496,3931037,5260997,2085396,579979
2021-07-29,230632,744566,1677454,4260043,3919238,5308625,2047314,579979
2021-07-30,230819,744831,1677897,4260256,3915974,5306750,2052383,579979
2021-07-31,230982,745285,1679693,4263520,3915972,5305799,2048621,579979
2021-08-01,231378,746244,1680967,4263135,3919270,5302437,2047465,579979
2021-08-02,231291,747174,1679941,4259957,3919605,5304780,2049036,579979
2021-08-03,231476,747834,1681416,4259258,3915989,5300350,2056451,579979
2021-08-04,231443,747758,1680771,4258654,3919250,5302186,2053585,579979
2021-08-05,231453,748192,1681956,4260404,3920832,5299072,2052751,579979
2021-08-06,231552,748190,1681455,4261958,3927472,5290923,2054102,579979
2021-08-07,231590,748467,1681621,4264599,3925857,5303407,2044126,576979
2021-08-08,231413,748879,1682254,4264200,3926410,5299992,2047544,576979
2021-08-09,231258,749054,1683066,4262712,3921622,5295375,2058516,576979
2021-08-10,231192,749143,1682186,4260887,3927115,5305258,2046885,576979
2021-08-11,231478,750081,1682905,4262088,3920974,5276371,2079695,576979
2021-08-12,231459,750512,1683103,4262237,3921426,5272574,2083199,576979
2021-08-13,231509,750660,1683879,4261389,3924176,5259240,2094544,576979
2021-08-14,231764,750759,1684802,4258716,3917275,5266204,2096928,576979
2021-08-15,231683,750939,1685473,4261298,3915333,5274568,2088229,576979
2021-08-16,231255,751421,1687410,4260356,3921405,5259981,2096740,576979
2021-08-17,231298,751633,1687544,4262363,3924305,5255055,2097437,576979
2021-08-18,231442,751897,1688043,4261301,3927202,5254277,2096330,576979
2021-08-19,231375,752446,1688397,4259924,3934253,5249042,2095998,576979
2021-08-20,231351,752559,1689334,4261730,3926210,5254259,2098523,575479
2021-08-21,231267,752651,1689565,4259194,3924969,5245600,2111775,575479
2021-08-22,231163,752845,1690835,4258860,3927572,5240459,2114282,575479
2021-08-23,231067,753057,1690129,4259765,3933569,5237491,2112137,575479
2021-08-24,231180,753359,1689728,4261782,3933514,5226228,2122438,575479
2021-08-25,231398,753876,1692766,4260119,3932726,5237709,2110642,575479
2021-08-26,231698,754448,1692784,4259845,3929673,5246074,2105569,575517
2021-08-27,232032,755143,1693661,4260336,3930402,5246664,2102298,575983
2021-08-28,232052,755364,1693704,4260820,3927660,5259184,2092590,576071
2021-08-29,232116,755535,1693806,4263292,3927246,5270358,2079996,576071
2021-08-30,232212,755917,1691583,4265604,3928782,5273155,2075952,576071
2021-08-31,232398,754817,1691994,4264768,3929759,5272145,2078193,576071
2021-09-01,232364,754771,1692198,4262947,3928180,5263725,2090727,576071
2021-09-02,232081,753813,1690947,4257177,3927900,5265433,2098529,576071
2021-09-03,231876,754265,1691192,4255021,3922278,5273910,2099745,574571
2021-09-04,231891,754262,1690513,4254347,3919788,5277678,2100769,574571
2021-09-05,231891,754423,1690752,4252010,3920135,5280193,2100851,574571
2021-09-06,231690,754655,1690377,4253081,3918593,5273818,2109111,574571
2021-09-07,232107,755282,1691825,4253954,3922635,5270602,2105900,574571
2021-09-08,232209,755484,1691363,4254586,3916375,5259254,2123445,575061
2021-09-09,232519,755786,1692473,4255417,3908923,5223492,2163516,576526
2021-09-10,232476,755740,1693200,4247679,3906042,5216458,2181114,576811
2021-09-11,232350,755942,1693291,4249038,3905354,5218377,2179027,577029
2021-09-12,232517,756141,1693484,4249527,3902631,5220470,2179538,577029
2021-09-13,232670,756786,1694295,4249485,3906377,5223794,2171816,577029
2021-09-14,232740,757215,1694315,4252075,3929654,5232540,2137201,577611
2021-09-15,232862,757530,1694420,4248639,3932928,5248911,2121332,577611
2021-09-16,232066,757298,1693381,4251065,3934867,5257302,2111493,577611
2021-09-17,231916,756992,1693240,4249188,3937866,5259104,2110104,577611
2021-09-18,232119,757282,1694404,4251133,3932286,5260425,2111691,577611
2021-09-19,232220,757447,1694491,4251984,3930198,5260577,2113517,577611
2021-09-20,232213,758331,1695240,4251001,3931178,5261659,2111775,577611
2021-09-21,232308,758522,1696308,4253994,3924357,5266795,2109919,577611
2021-09-22,232410,758635,1695274,4253378,3930039,5262053,2110893,577932
2021-09-23,232476,758856,1695841,4253698,3926611,5263852,2111952,578340
2021-09-24,232324,759134,1695648,4251473,3925375,5273413,2106630,578548
2021-09-25,232671,759312,1696217,4252924,3923863,5272643,2107052,578838
2021-09-26,232888,759777,1697211,4255284,3937611,5336076,2026680,578838
2021-09-27,232911,760509,1698559,4257452,3937735,5325807,2033466,578838
2021-09-28,232985,760860,1699678,4258336,3938644,5324850,2032086,578838
2021-09-29,233093,761400,1700863,4262206,3941283,5314090,2035339,578866
2021-09-30,232366,760616,1700257,4261809,3943716,5321738,2028691,578902
2021-10-01,232694,760940,1700332,4263525,3948192,5318250,2026216,578902
2021-10-02,232407,760796,1700889,4262799,3951242,5314903,2028289,578902
2021-10-03,232664,761059,1701719,4264305,3956560,5308744,2027211,578902
2021-10-04,232623,761730,1702476,4265433,3955697,5305498,2029725,578902
2021-10-05,232478,761663,1702513,4262762,3967824,5301568,2028392,575902
2021-10-06,232620,762029,1703102,4263684,4006174,5269166,2021313,575902
2021-10-07,232534,761320,1702546,4263471,4006518,5270185,2022371,575902
2021-10-08,232406,761102,1702224,4262822,4012074,5264964,2025638,574402
2021-10-09,232060,761198,1702852,4264084,4011265,5265754,2026405,572902
2021-10-10,232081,761323,1703716,4263846,4003900,5273222,2026537,572902
2021-10-11,231827,760204,1703471,4264503,4002759,5283963,2018786,572902
2021-10-12,231873,760519,1704609,4264705,3999248,5286234,2019211,572902
2021-10-13,231961,760289,1704345,4264580,4001745,5303186,2002788,571402
2021-10-14,231897,760375,1704465,4266453,4009433,5298461,1998164,571896
2021-10-15,232041,760353,1704392,4267209,4012742,5289391,2004059,571896
2021-10-16,231905,759742,1704202,4265938,4008521,5291439,2009258,571896
2021-10-17,231856,760122,1704291,4266720,4004537,5297648,2006826,571896
2021-10-18,231922,758340,1702226,4266577,3997162,5303256,2013421,571896
2021-10-19,231794,758189,1702205,4266485,3993372,5331799,1989992,571896
2021-10-20,232021,758151,1701929,4269385,3981669,5332566,1999110,571896
2021-10-21,231654,757726,1699543,4266268,3980765,5329977,2009829,571896
2021-10-22,231672,757925,1699925,4265333,3987915,5317838,2016131,571896
2021-10-23,231803,757846,1700513,4266656,3985755,5315007,2020095,571896
2021-10-24,231994,757904,1697512,4261441,3992164,5325511,2012060,571896
2021-10-25,231844,758087,1688684,4258165,4007225,5329996,2005729,571896
2021-10-26,231962,758360,1682731,4260541,4011162,5317718,2017623,572492
2021-10-27,232148,758508,1683148,4266508,4009150,5293770,2037685,572597
2021-10-28,232222,758665,1684126,4273286,3999213,5294944,2038286,573758
2021-10-29,232420,758926,1683912,4273400,3997869,5277878,2057128,574031
2021-10-30,232735,759277,1683647,4270129,3993216,5293864,2049633,574031
2021-10-31,232533,759279,1683714,4269658,3993008,5292258,2052971,574031
2021-11-01,232803,759864,1684950,4272167,4007216,5270384,2056907,574031
2021-11-02,232955,760225,1684770,4272210,4010209,5280318,2044375,574215
2021-11-03,232904,760584,1685061,4272475,4004287,5267688,2063119,574215
2021-11-04,232999,760645,1685780,4274333,4001235,5257889,2074117,574215
2021-11-05,232903,760331,1685465,4281857,3996226,5254807,2076347,574215
2021-11-06,233116,760474,1685521,4287299,3993311,5257117,2071663,574638
2021-11-07,233278,760781,1685780,4286956,3995454,5242032,2085171,574638
2021-11-08,233365,760785,1686074,4296137,3989335,5246175,2078487,574638
2021-11-09,232986,760140,1685037,4292476,3984193,5251579,2086172,573336
2021-11-10,233151,760184,1683649,4293615,3989428,5246128,2087316,573336
2021-11-11,232978,760087,1684105,4290589,3988438,5234496,2103817,573336
2021-11-12,233129,760141,1683929,4289599,3989318,5244060,2105210,563335
2021-11-13,233410,760400,1684292,4292326,3985648,5243505,2105657,564458
2021-11-14,233648,760646,1684549,4293631,3984643,5241729,2107346,564458
2021-11-15,233643,760939,1685101,4292109,3988200,5240378,2106774,564458
2021-11-16,233773,761142,1685020,4287854,3984113,5252144,2103814,564665
2021-11-17,233844,761500,1685544,4289796,3982115,5244086,2110291,566312
2021-11-18,234160,761780,1684996,4287395,3988817,5276079,2074088,567012
2021-11-19,234388,761802,1684598,4289908,3982245,5286631,2068189,567496
2021-11-20,234595,762318,1685634,4288645,3979248,5276197,2080974,568530
2021-11-21,234787,762532,1686418,4287375,3980740,5275264,2081287,568530
2021-11-22,235028,762816,1686952,4289206,3984078,5277591,2073639,568530
2021-11-23,235584,763939,1687739,4291107,3987852,5271879,2071217,569384
2021-11-24,236003,765121,1688814,4293678,3985049,5287116,2053884,570000
2021-11-25,236470,766061,1690537,4298323,3983511,5279255,2056215,570105
2021-11-26,236796,766929,1691567,4301272,3983745,5291612,2039275,570105
2021-11-27,237343,768068,1692573,4302175,3976947,5288093,2045876,571096
2021-11-28,237558,768630,1693785,4301544,3978535,5289217,2042687,571096
2021-11-29,237788,769194,1694604,4306165,3977052,5292092,2035960,571096
2021-11-30,238350,770298,1696609,4308874,3979203,5319779,2000211,571452
2021-12-01,238029,769386,1694443,4304418,3988262,5262740,2056929,571452
2021-12-02,236948,767031,1689446,4300017,3983987,5244622,2093105,571452
2021-12-03,237228,766942,1691656,4299876,3985909,5228284,2106281,571452
2021-12-04,237932,768047,1694111,4304833,3991542,5234419,2086284,571452
2021-12-05,237561,769056,1694767,4307632,3993920,5257248,2058009,571452
2021-12-06,237780,769787,1695579,4309993,3995823,5287047,2023241,571452
2021-12-07,238246,771039,1697086,4312836,4001727,5257653,2061607,551507
2021-12-08,238475,770746,1695895,4309444,4002704,5249924,2073669,551895
2021-12-09,237112,767993,1690602,4301586,3992062,5242344,2110023,552028
2021-12-10,237642,768344,1692752,4305184,3997234,5219077,2122092,552345
2021-12-11,237941,769275,1694626,4306028,3997360,5219042,2118706,552692
2021-12-12,238473,769927,1696369,4305403,3996514,5220799,2116400,552692
2021-12-13,238955,771025,1701094,4306715,3996038,5224600,2106301,552692
2021-12-14,239134,771911,1702475,4307356,3998724,5234498,2091286,552981
2021-12-15,239122,772979,1704420,4302648,4007623,5229172,2090035,553239
2021-12-16,239483,773655,1705563,4304855,4006002,5243053,2074145,553239
2021-12-17,239041,772125,1702660,4297701,4004615,5235061,2096478,553239
2021-12-18,238507,770581,1699508,4293990,3996714,5239622,2109415,553376
2021-12-19,238935,771264,1700789,4294680,3998295,5238238,2107050,553376
2021-12-20,238932,772179,1702988,4296000,3998099,5231079,2110893,553376
2021-12-21,238877,772765,1703002,4299315,4005318,5223542,2108176,553512
2021-12-22,238893,773120,1704226,4295551,4011660,5240888,2087595,553512
2021-12-23,239197,773841,1705330,4295574,4009753,5225342,2103840,553512
2021-12-24,238974,773035,1703004,4291247,4004611,5225836,2117108,553512
2021-12-25,237697,770310,1699144,4288603,3994457,5208086,2156455,553512
2021-12-26,237869,770615,1699963,4287466,3996268,5206944,2156425,553512
2021-12-27,237754,771128,1700375,4284874,3996408,5208515,2157390,553512
2021-12-28,237840,771511,1700377,4285683,3989823,5208176,2163949,553512
2021-12-29,237741,771775,1701003,4282699,3996327,5192252,2176442,553512
2021-12-30,238072,772578,1702326,4285525,3992331,5193171,2174899,553632
2021-12-31,237736,771584,1703318,4285953,3999191,5181277,2180476,553873
2022-01-01,237854,772018,1703483,4284773,4002390,5180199,2179948,553879
2022-01-02,238024,772317,1703492,4287845,3996397,5183030,2180553,553879
2022-01-03,238104,772713,1703664,4287640,3996409,5183563,2180449,553879
2022-01-04,238289,773161,1703956,4288200,3994031,5186517,2062228,670936
